Record_ID,Date,Year,Month,Year_Month,Source,Source_URL,Country,Location_Type,Latitude,Longitude,Themes,Theme_Count,Tone_Overall,Tone_Positive,Tone_Negative,Tone_Polarity,Tone_Activity,Tone_SelfGroup
20220330121500-1049,2022-03-30 12:15:00,2022,3,2022-03,winsfordguardian.co.uk,https://www.winsfordguardian.co.uk/news/20029025.edward-timpson-were-looking-vulnerable-particular/,United Kingdom,1,54.0,-4.0,EPU_POLICY_GOVERNMENT;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_716_MANAGING_PUBLIC_FINANCES;WB_713_PUBLIC_FINANCE;RURAL;ECON_TAXATION;EPU_POLICY_TAX;EPU_UNCERTAINTY;CRISISLEX_T11_UPDATESSYMPATHY;WB_1973_FINANCIAL_RISK_REDUCTION;WB_435_AGRICULTURE_AND_FOOD_SECURITY;WB_337_INSURANCE;WB_1967_AGRICULTURAL_RISK_AND_SECURITY;EPU_ECONOMY;EPU_ECONOMY_HISTORIC;TAX_FNCACT_EMPLOYERS;WB_2690_CATEGORIES_OF_EMPLOYMENT;WB_2670_JOBS;WB_2689_JOBS_DIAGNOSTICS;WB_2704_EMPLOYER;GENERAL_HEALTH;HEALTH_PANDEMIC;WB_635_PUBLIC_HEALTH;WB_2165_HEALTH_EMERGENCIES;WB_2166_HEALTH_EMERGENCY_PREPAREDNESS_AND_DISASTER_RESPONSE;WB_621_HEALTH_NUTRITION_AND_POPULATION;WB_2167_PANDEMICS;UNGP_HEALTHCARE;ECON_DEBT;WB_1104_MACROECONOMIC_VULNERABILITY_AND_DEBT;WB_450_DEBT;TAX_FNCACT_CHANCELLOR;ECON_COST_OF_LIVING;TAX_FNCACT_EMPLOYEES;USPEC_POLICY1;EPU_CATS_TAXES;EPU_POLICY_SPENDING;TAX_ECON_PRICE;GENERAL_GOVERNMENT,39,-0.815217391304347,3.80434782608696,4.6195652173913,8.42391304347826,20.1086956521739,1.6304347826087
20220119121500-1081,2022-01-19 12:15:00,2022,1,2022-01,bedfordtoday.co.uk,https://www.bedfordtoday.co.uk/health/drop-in-visits-to-ae-at-bedfordshire-hospitals-trust-last-month-3533209,United Kingdom,4,52.0,-0.5,GENERAL_HEALTH;HEALTH_PANDEMIC;WB_635_PUBLIC_HEALTH;WB_2165_HEALTH_EMERGENCIES;WB_2166_HEALTH_EMERGENCY_PREPAREDNESS_AND_DISASTER_RESPONSE;WB_621_HEALTH_NUTRITION_AND_POPULATION;WB_2167_PANDEMICS;UNGP_HEALTHCARE;MEDICAL;SOC_POINTSOFINTEREST_HOSPITALS;WB_1428_INJURY;WB_1406_DISEASES;WB_1427_NON_COMMUNICABLE_DISEASE_AND_INJURY;TAX_DISEASE_CORONAVIRUS;CRISISLEX_C03_WELLBEING_HEALTH,15,2.0746887966805,2.9045643153527,0.829875518672199,3.7344398340249,15.3526970954357,0.0
20220914121500-540,2022-09-14 12:15:00,2022,9,2022-09,msn.com,http://www.msn.com/en-us/health/other/covid-19-vaccine-supply-to-china-moderna-ceo-says-capacity-available/ar-AA11OUh6,Japan,4,35.685,139.751,GENERAL_GOVERNMENT;EPU_POLICY_GOVERNMENT;HEALTH_VACCINATION;WB_642_CHILD_HEALTH;WB_1459_IMMUNIZATIONS;WB_621_HEALTH_NUTRITION_AND_POPULATION;WB_639_REPRODUCTIVE_MATERNAL_AND_CHILD_HEALTH;UNGP_HEALTHCARE;EPU_POLICY_REGULATORY;GENERAL_HEALTH;TAX_FNCACT_CEO;TAX_ECON_PRICE;TAX_DISEASE_CONVENTIONAL;WB_1921_PRIVATE_SECTOR_DEVELOPMENT;WB_346_COMPETITIVE_INDUSTRIES;WB_818_INDUSTRY_POLICY_AND_REAL_SECTORS;WB_1281_MANUFACTURING;TAX_DISEASE_COVID_19;TAX_ETHNICITY_JAPANESE;TAX_WORLDLANGUAGES_JAPANESE;TAX_DISEASE_COVID;TAX_ETHNICITY_CHINESE;TAX_WORLDLANGUAGES_CHINESE,23,0.75187969924812,2.25563909774436,1.50375939849624,3.7593984962406,24.0601503759398,0.75187969924812
20220808121500-1204,2022-08-08 12:15:00,2022,8,2022-08,daily-sun.com,https://www.daily-sun.com/post/636799/Fatigue-headache-most-common-lasting-symptoms-months-after-COVID19:-Study,United States,2,32.9866,-83.6487,TAX_DISEASE_MUSCLE_WEAKNESS;WB_135_TRANSPORT;WB_1817_CONGESTION;WB_162_TRANSPORT_ECONOMICS;TAX_DISEASE_INFECTION;TAX_DISEASE_RESPIRATORY_TRACT_INFECTIONS;RECRUITMENT;TAX_DISEASE_DISEASES;TAX_DISEASE_HEADACHE;TAX_DISEASE_AUTOIMMUNE_DISEASES;TAX_DISEASE_RHEUMATOID_ARTHRITIS;TAX_DISEASE_MILD_COGNITIVE_IMPAIRMENT;TAX_DISEASE_DIABETES;TAX_CHRONICDISEASE_DIABETES;WB_1433_DIABETES;TAX_DISEASE_STROKE;TAX_DISEASE_MULTIPLE_SCLEROSIS;TAX_DISEASE_COVID_19;TAX_DISEASE_ANAEMIA;TAX_FNCACT_AUTHOR;TAX_FNCACT_DOCTORS;TAX_DISEASE_APNEA;CRISISLEX_C07_SAFETY;TAX_DISEASE_SLEEP_APNEA;PROTEST;CRISISLEX_T11_UPDATESSYMPATHY;EDUCATION;SOC_POINTSOFINTEREST_COLLEGE;TAX_DISEASE_DISEASE;GENERAL_HEALTH;MEDICAL;CRISISLEX_C03_WELLBEING_HEALTH;RAPE;TAX_DISEASE_FATIGUE;SCIENCE;HEALTH_PANDEMIC;UNGP_HEALTHCARE;TAX_DISEASE_DEPRESSION;TAX_DISEASE_CORONAVIRUS;TAX_DISEASE_INFLAMMATION;TAX_DISEASE_COVID;TAX_DISEASE_EPIDEMIC;WB_635_PUBLIC_HEALTH;WB_2165_HEALTH_EMERGENCIES;WB_2166_HEALTH_EMERGENCY_PREPAREDNESS_AND_DISASTER_RESPONSE;WB_621_HEALTH_NUTRITION_AND_POPULATION;WB_2167_PANDEMICS;AFFECT;TAX_FNCACT_WOMEN;WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION;WB_1464_HEALTH_OF_THE_DISABLED;TAX_DISEASE_HEART_DISEASE;TAX_CHRONICDISEASE_HEART_DISEASE;WB_1434_HEART_DISEASE;UNGP_FORESTS_RIVERS_OCEANS;EPU_CATS_MIGRATION_FEAR_FEAR;TAX_DISEASE_COMMON_COLD;TAX_WORLDMAMMALS_HUMANS;CRISISLEX_CRISISLEXREC;WB_2745_JOB_QUALITY_AND_LABOR_MARKET_PERFORMANCE;WB_2670_JOBS;WB_2689_JOBS_DIAGNOSTICS;WB_2748_EMPLOYMENT;TAX_DISEASE_ARTHRITIS;TAX_CHRONICDISEASE_ARTHRITIS;TAX_DISEASE_SCLEROSIS;TAX_DISEASE_HYPERTENSION;WB_1406_DISEASES;WB_1432_HYPERTENSION;WB_1427_NON_COMMUNICABLE_DISEASE_AND_INJURY;DISABILITY;TAX_ETHNICITY_BLACK,72,-6.17977528089888,1.7478152309613,7.92759051186018,9.67540574282147,22.7215980024969,0.249687890137328
20220717121500-538,2022-07-17 12:15:00,2022,7,2022-07,ctvnews.ca,https://www.ctvnews.ca/health/coronavirus/already-had-covid-19-here-s-what-we-know-about-reinfections-1.5990907,Canadians,1,60.0,-96.0,WB_642_CHILD_HEALTH;WB_1459_IMMUNIZATIONS;WB_639_REPRODUCTIVE_MATERNAL_AND_CHILD_HEALTH;HEALTH_VACCINATION;UNGP_HEALTHCARE;TAX_DISEASE_INFECTION;EDUCATION;TAX_FNCACT_PROFESSOR;TAX_DISEASE_DISEASE;WB_1406_DISEASES;MANMADE_DISASTER_IMPLIED;SOC_POINTSOFINTEREST_SCHOOL;CRISISLEX_T11_UPDATESSYMPATHY;SOC_POINTSOFINTEREST_HOSPITAL;CRISISLEX_C03_WELLBEING_HEALTH;AFFECT;WB_635_PUBLIC_HEALTH;WB_621_HEALTH_NUTRITION_AND_POPULATION;NATURAL_DISASTER_TSUNAMI;TAX_DISEASE_COVID_19;TAX_DISEASE_COVID;TAX_DISEASE_CONTAGIOUS;GENERAL_HEALTH;MEDICAL;TAX_WORLDMAMMALS_BEAR;TAX_ETHNICITY_CANADIANS;SOC_POINTSOFINTEREST_UNIVERSITY;TAX_FNCACT_AGENT;WB_1331_HEALTH_TECHNOLOGIES;WB_1350_PHARMACEUTICALS;TRIAL;TAX_ETHNICITY_CANADIAN;TAX_DISEASE_INFECTIOUS,33,-2.45202558635394,2.45202558635394,4.90405117270789,7.35607675906183,23.9872068230277,2.23880597014925
20220426121500-93,2022-04-26 12:15:00,2022,4,2022-04,iol.co.za,https://www.iol.co.za/lifestyle/health/the-evolution-of-genetics-in-breast-cancer-and-the-benefits-of-genetic-testing-ec25482f-aa3d-40e2-b440-8166efe686db,South Africa,1,-30.0,26.0,UNGP_FORESTS_RIVERS_OCEANS;TAX_DISEASE_DISEASE;UNGP_HEALTHCARE;TAX_DISEASE_SHORT_STATURE;TAX_FNCACT_SPECIALIST;TAX_DISEASE_POLYPS;TAX_DISEASE_CANCER;WB_1406_DISEASES;WB_1431_CANCER;WB_621_HEALTH_NUTRITION_AND_POPULATION;WB_1427_NON_COMMUNICABLE_DISEASE_AND_INJURY;TAX_DISEASE_COLORECTAL_CANCER;SURVEILLANCE;WB_1160_SHOCKS_AND_VULNERABILITY;WB_695_POVERTY;TAX_DISEASE_ATHEROSCLEROSIS;AFFECT;TAX_DISEASE_BREAST_CANCER;GENERAL_HEALTH;TAX_DISEASE_ABNORMALITIES;TAX_FNCACT_WOMEN;TAX_DISEASE_WERNER_SYNDROME;WB_1245_FINANCIAL_VULNERABILITY_AND_RISKS;WB_318_FINANCIAL_ARCHITECTURE_AND_BANKING;WB_1920_FINANCIAL_SECTOR_DEVELOPMENT;WB_327_VULNERABILITY_AND_RISK_ASSESSMENTS;MEDICAL;TAX_FNCACT_SURGEON;CRISISLEX_C04_LOGISTICS_TRANSPORT;TAX_FNCACT_PRINCIPAL;TAX_FNCACT_ACTRESS;CRISISLEX_C03_WELLBEING_HEALTH;TAX_DISEASE_SYNDROME,33,-5.48112058465286,2.80146163215591,8.28258221680877,11.0840438489647,22.4116930572473,0.243605359317905
20220322121500-925,2022-03-22 12:15:00,2022,3,2022-03,theguardian.com,https://www.theguardian.com/business/2022/mar/22/bq-screwfix-staff-pay-rise-diy-kingfisher,United Kingdom,1,54.0,-4.0,GENERAL_GOVERNMENT;EPU_POLICY_GOVERNMENT;ECON_HOUSING_PRICES;WB_904_HOUSING_MARKETS;WB_817_LAND_AND_HOUSING;WB_813_URBAN_GOVERNANCE_AND_CITY_SYSTEMS;WB_699_URBAN_DEVELOPMENT;WB_507_ENERGY_AND_EXTRACTIVES;WB_533_ENERGY_EFFICIENCY;MANMADE_DISASTER_IMPLIED;ARMEDCONFLICT;EPU_CATS_NATIONAL_SECURITY;TAX_FNCACT_EXECUTIVE;ECON_INFLATION;WB_1104_MACROECONOMIC_VULNERABILITY_AND_DEBT;WB_442_INFLATION;TAX_FNCACT_RETAILER;GENERAL_HEALTH;HEALTH_PANDEMIC;WB_635_PUBLIC_HEALTH;WB_2165_HEALTH_EMERGENCIES;WB_2166_HEALTH_EMERGENCY_PREPAREDNESS_AND_DISASTER_RESPONSE;WB_621_HEALTH_NUTRITION_AND_POPULATION;WB_2167_PANDEMICS;UNGP_HEALTHCARE;FUELPRICES;WB_1671_MINIMUM_WAGES;WB_1668_LABOR_STANDARDS;EPU_CATS_REGULATION;UNGP_JOB_OPPORTUNITIES_EMPLOYMENT;TAX_DISEASE_COVID;TAX_FNCACT_CHIEF;WB_698_TRADE;TAX_ECON_PRICE;ENV_SOLAR;WB_856_WAGES;WB_1654_ACTIVE_LABOR_MARKET_POLICIES;WB_855_LABOR_MARKETS;WB_697_SOCIAL_PROTECTION_AND_LABOR;TAX_FNCACT_CHIEF_EXECUTIVE;CRISISLEX_CRISISLEXREC;TAX_FNCACT_BOSS;TAX_FNCACT_WORKERS;TAX_WORLDMAMMALS_DOG;TAX_FNCACT_CHILDREN;CRISISLEX_O01_WEATHER,46,0.317460317460317,2.53968253968254,2.22222222222222,4.76190476190476,25.0793650793651,0.0
20230825121500-983,2023-08-25 12:15:00,2023,8,2023-08,offalyexpress.ie,https://www.offalyexpress.ie/news/national-news/1280926/revealed-the-number-of-students-receiving-leaving-certificate-results.html,Ireland,1,53.0,-8.0,EDUCATION;WB_470_EDUCATION;EPU_CATS_REGULATION;EPU_CATS_FINANCIAL_REGULATION;WB_482_TERTIARY_EDUCATION;WB_478_LEVELS_OF_EDUCATION;WB_2745_JOB_QUALITY_AND_LABOR_MARKET_PERFORMANCE;WB_2670_JOBS;WB_2689_JOBS_DIAGNOSTICS;WB_2748_EMPLOYMENT;GENERAL_HEALTH;HEALTH_PANDEMIC;WB_635_PUBLIC_HEALTH;WB_2165_HEALTH_EMERGENCIES;WB_2166_HEALTH_EMERGENCY_PREPAREDNESS_AND_DISASTER_RESPONSE;WB_621_HEALTH_NUTRITION_AND_POPULATION;WB_2167_PANDEMICS;UNGP_HEALTHCARE;TAX_FNCACT_STUDENTS;TAX_DISEASE_CORONAVIRUS;TAX_FNCACT_COMMISSIONERS;TAX_DISEASE_COVID_19;TAX_FNCACT_MINISTER;TAX_FNCACT_CHAIRPERSON;TAX_FNCACT_CANDIDATES,25,-0.205338809034908,2.25872689938398,2.46406570841889,4.72279260780287,22.9979466119097,1.23203285420945
20220310121500-974,2022-03-10 12:15:00,2022,3,2022-03,investegate.co.uk,https://www.investegate.co.uk/morgan-stanley---38--co.--59ss-/rns/form-8.5--ept-ri----meggitt-plc/202203101106193562E/,American,1,39.828175,-98.5795,EPU_POLICY_REGULATORY;TAX_ECON_PRICE;UNGP_FORESTS_RIVERS_OCEANS;TAX_FNCACT_PRINCIPAL;CRISISLEX_C07_SAFETY;USPEC_POLITICS_GENERAL1;TAX_FNCACT_TRADER;SURVEILLANCE,8,0.485908649173955,0.971817298347911,0.485908649173955,1.45772594752187,21.1856171039844,0.0
20231026121500-57,2023-10-26 12:15:00,2023,10,2023-10,bctv.org,https://www.bctv.org/2023/10/26/arl-subaru-loves-pets-steve-moyer-subaru-to-offer-free-vaccines-microchips-for-dogs-oct-28/,Spanish,1,40.0,-4.0,TAX_DISEASE_COUGH;WB_2024_ANTI_CORRUPTION_AUTHORITIES;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_840_JUSTICE;WB_2025_INVESTIGATION;WB_831_GOVERNANCE;WB_832_ANTI_CORRUPTION;WB_1014_CRIMINAL_JUSTICE;TAX_DISEASE_HEPATITIS;HEALTH_SEXTRANSDISEASE;TAX_WORLDMAMMALS_DOGS;TAX_DISEASE_CANINE_DISTEMPER;TAX_DISEASE_PARVOVIRUS;TAX_WORLDMAMMALS_DOG;TAX_DISEASE_DISTEMPER;TAX_DISEASE_RABIES;TAX_ETHNICITY_SPANISH;TAX_WORLDLANGUAGES_SPANISH;MEDICAL;UNGP_FORESTS_RIVERS_OCEANS;GENERAL_HEALTH;HEALTH_VACCINATION;WB_642_CHILD_HEALTH;WB_1459_IMMUNIZATIONS;WB_621_HEALTH_NUTRITION_AND_POPULATION;WB_639_REPRODUCTIVE_MATERNAL_AND_CHILD_HEALTH;UNGP_HEALTHCARE;LEGISLATION;EPU_POLICY_LAW;MANMADE_DISASTER_IMPLIED;WOUND;CRISISLEX_CRISISLEXREC;CRISISLEX_C03_WELLBEING_HEALTH;CRISISLEX_T02_INJURED,34,3.23741007194245,6.47482014388489,3.23741007194245,9.71223021582734,22.6618705035971,0.719424460431655
